date,1. open,2. high,3. low,4. close,5. volume,Close,SMA_10,EMA_10,Daily_Return,Volatility_10,RSI_14
1999-11-01,80.0,80.69,77.37,77.62,2487300.0,77.62,,77.62,,,
1999-11-02,78.0,81.69,77.31,80.25,3564600.0,80.25,,78.09818181818181,0.03388301984024733,,
1999-11-03,81.62,83.25,81.0,81.5,2932700.0,81.5,,78.71669421487603,0.015576323987538832,,
1999-11-04,82.06,85.37,80.62,83.62,3384700.0,83.62,,79.60820435762584,0.026012269938650467,,
1999-11-05,84.62,88.37,84.0,88.31,3721500.0,88.31,,81.19034901987568,0.056087060511839315,,
1999-11-08,87.75,97.73,86.75,96.37,8490400.0,96.37,,83.95028556171647,0.09126939191484551,,
1999-11-09,94.37,94.5,88.0,89.62,7224800.0,89.62,,84.98114273231347,-0.07004254436027813,,
1999-11-10,88.25,93.25,88.12,91.44,5159800.0,91.44,,86.15548041734738,0.02030796697165793,,
1999-11-11,91.59,92.62,89.87,92.25,2409600.0,92.25,,87.26357488692057,0.008858267716535417,,
1999-11-12,91.94,92.0,87.37,90.62,2491600.0,90.62,87.16,87.87383399838956,-0.01766937669376689,,
1999-11-15,89.62,92.87,88.5,89.44,2320600.0,89.44,88.34200000000001,88.15859145322781,-0.013021408077687147,0.04363204171848859,
1999-11-16,90.0,91.75,88.5,91.19,2088000.0,91.19,89.436,88.70975664355002,0.0195661896243291,0.043180745054376496,
1999-11-17,90.69,94.75,90.0,90.25,3255100.0,90.25,90.311,88.98980089017728,-0.0103081478232262,0.04382638918351404,
1999-11-18,91.06,91.12,88.44,89.62,3257000.0,89.62,90.911,89.10438254650867,-0.006980609418282491,0.0438214113931186,67.51313485113836
1999-11-19,89.5,92.87,88.06,92.44,2790300.0,92.44,91.324,89.71085844714347,0.03146619058245914,0.04143402171049294,69.98381877022653
1999-11-22,91.75,91.75,89.25,90.62,1806800.0,90.62,90.749,89.8761569112992,-0.01968844655993074,0.028797031083229205,64.29556106975463
