date,1. open,2. high,3. low,4. close,5. volume,Close,SMA_10,EMA_10,Daily_Return,Volatility_10,RSI_14
2010-06-29,19.0,25.0,17.54,23.89,18766300.0,23.89,,23.89,,,
2010-06-30,25.79,30.4192,23.3,23.83,17187100.0,23.83,,23.87909090909091,-0.002511511092507468,,
2010-07-01,25.0,25.92,20.27,21.96,8218800.0,21.96,,23.530165289256196,-0.07847251363827101,,
2010-07-02,23.0,23.1,18.71,19.2,5139800.0,19.2,,22.742862509391433,-0.12568306010928965,,
2010-07-06,20.0,20.0,15.83,16.11,6866900.0,16.11,,21.5368875076839,-0.16093749999999996,,
2010-07-07,16.4,16.63,14.98,15.8,6921700.0,15.8,,20.493817051741374,-0.019242706393544307,,
2010-07-08,16.14,17.52,15.57,17.46,7711400.0,17.46,,19.942213951424762,0.1050632911392404,,
2010-07-09,17.58,17.9,16.55,17.4,4050600.0,17.4,,19.479993232983894,-0.003436426116838587,,
2010-07-12,17.95,18.07,17.0,17.05,2202500.0,17.05,,19.038176281532277,-0.02011494252873547,,
2010-07-13,17.3938,18.64,16.9,18.14,2680100.0,18.14,19.084,18.874871503071862,0.06392961876832848,,
2010-07-14,17.94,20.15,17.7601,19.84,4195200.0,19.84,18.679,19.05034941160425,0.093715545755237,0.08842744072026737,
2010-07-15,19.94,21.5,19.0,19.89,3739800.0,19.89,18.285,19.20301315494893,0.002520161290322509,0.08851920566724882,
2010-07-16,20.7,21.3,20.05,20.64,2621300.0,20.64,18.153,19.46428349041276,0.03770739064856721,0.0867626351728771,
2010-07-19,21.37,22.25,20.92,21.91,2486500.0,21.91,18.424,19.90895921942862,0.06153100775193798,0.0769026445652592,43.40878828229028
2010-07-20,21.85,21.85,20.05,20.3,1825300.0,20.3,18.843,19.980057543168872,-0.07348242811501593,0.05690994264657582,39.20625375826819
2010-07-21,20.66,20.9,19.5,20.22,1252500.0,20.22,19.285000000000004,20.023683444410892,-0.003940886699507429,0.055788245600738424,39.15915915915916
2010-07-22,20.5,21.25,20.37,21.0,957800.0,21.0,19.639,20.20119554542709,0.03857566765578646,0.04890180353189767,46.91516709511568
2010-07-23,21.19,21.56,21.06,21.29,653600.0,21.29,20.028,20.399159991713073,0.013809523809523716,0.04829552828995702,57.983193277310924
2010-07-26,21.5,21.5,20.3,20.95,922200.0,20.95,20.418,20.49931272049251,-0.015969938938468764,0.04791568805602167,73.40425531914894
2010-07-27,20.91,21.18,20.26,20.55,619700.0,20.55,20.659,20.508528589493874,-0.019093078758949833,0.04699627706694916,72.77085330776606
2010-07-28,20.55,20.9,20.51,20.72,467200.0,20.72,20.747,20.54697793685862,0.008272506082724895,0.03763415348201873,68.23266219239373
2010-07-29,20.77,20.88,20.0,20.35,616000.0,20.35,20.793,20.51116376652069,-0.017857142857142683,0.0383281966310222,65.94594594594597
2010-07-30,20.2,20.44,19.55,19.94,426900.0,19.94,20.723,20.40731580897147,-0.020147420147420103,0.03683712119762374,65.52094522019335
2010-08-02,20.5,20.97,20.333,20.92,718100.0,20.92,20.624000000000002,20.500531116431205,0.04914744232698087,0.0345715618220847,65.10869565217394
2010-08-03,21.0,21.95,20.82,21.95,1230500.0,21.95,20.788999999999998,20.764070913443714,0.04923518164435925,0.028428824209571876,62.368112543962496
2010-08-04,21.95,22.18,20.85,21.26,913000.0,21.26,20.893,20.85423983827213,-0.03143507972665138,0.030951400837384808,57.47001090512543
2010-08-05,21.54,21.55,20.05,20.45,796200.0,20.45,20.838,20.780741685859013,-0.038099717779868425,0.03132949807696654,48.97074756229685
2010-08-06,20.1,20.1601,19.52,19.59,741900.0,19.59,20.668,20.56424319752101,-0.04205378973105134,0.03308616196721211,36.84807256235826
2010-08-09,19.9,19.98,19.45,19.6,812700.0,19.6,20.533,20.388926252517187,0.0005104645227158588,0.03304442463132913,45.15235457063712
2010-08-10,19.65,19.65,18.82,19.03,1281300.0,19.03,20.381,20.141848752059516,-0.029081632653061185,0.033624931456044935,42.28274967574579
2010-08-11,18.69,18.88,17.85,17.9,797600.0,17.9,20.099,19.734239888048695,-0.05937992643194967,0.03682997899522001,30.769230769230745
2010-08-12,17.8,17.9,17.39,17.6,691000.0,17.6,19.824,19.34619627203984,-0.016759776536312665,0.03681856501444847,27.13754646840148
2010-08-13,18.18,18.45,17.6604,18.32,634000.0,18.32,19.662,19.15961513166896,0.040909090909090784,0.04052605517182475,34.4378698224852
2010-08-16,18.45,18.8,18.2616,18.78,485800.0,18.78,19.448,19.09059419863824,0.025109170305676942,0.037369386173859535,39.60047003525264
2010-08-17,18.96,19.4,18.78,19.15,447900.0,19.15,19.168,19.101395253431285,0.01970181043663466,0.03307941543838783,40.9873708381171
2010-08-18,19.59,19.59,18.6,18.77,601300.0,18.77,18.919,19.041141570989232,-0.01984334203655347,0.03256295625201696,40.940366972477044
2010-08-19,18.54,19.25,18.33,18.79,579100.0,18.79,18.753,18.99547946717301,0.0010655301012252316,0.03139587097357125,43.097238895558206
2010-08-20,18.65,19.11,18.5101,19.1,296000.0,19.1,18.704,19.01448320041428,0.016498137307078276,0.029752482616817556,38.120104438642294
2010-08-23,19.09,20.3891,19.0,20.13,1088100.0,20.13,18.756999999999998,19.21730443670259,0.05392670157068058,0.03466767444700475,38.120104438642294
2010-08-24,19.25,19.71,18.95,19.2,673100.0,19.2,18.774,19.214158175483938,-0.046199701937406856,0.03679681721646761,36.96202531645568
2010-08-25,19.16,19.98,18.56,19.9,503300.0,19.9,18.973999999999997,19.338856689032312,0.03645833333333326,0.031238764052916642,46.46983311938382
2010-08-26,19.89,20.27,19.6,19.75,433800.0,19.75,19.189,19.413610018299163,-0.007537688442211032,0.030451568550606333,51.12994350282487
2010-08-27,19.75,19.865,19.5,19.7,379600.0,19.7,19.327,19.46568092406295,-0.0025316455696202667,0.028931279861564376,50.70224719101122
2010-08-30,19.7,20.19,19.61,19.87,732800.0,19.87,19.436,19.539193483324233,0.00862944162436552,0.0282894456796542,56.25000000000001
2010-08-31,19.66,19.79,19.33,19.48,201100.0,19.48,19.469,19.528431031810737,-0.01962757926522396,0.02890272168554896,63.21070234113716
2010-09-01,19.62,20.69,19.6,20.45,494900.0,20.45,19.637,19.695989026026965,0.049794661190964984,0.031320715288674805,71.42857142857143
2010-09-02,20.37,21.24,20.3103,21.06,487100.0,21.06,19.863999999999997,19.94399102129479,0.029828850855745603,0.031822943938854056,70.9480122324159
2010-09-03,20.87,21.3,20.66,21.05,434600.0,21.05,20.059,20.145083562877552,-0.0004748338081670411,0.0320039864881186,68.63711001642038
2010-09-07,20.61,21.0,20.5,20.54,243400.0,20.54,20.1,20.216886551445267,-0.02422802850356298,0.02959900741322519,61.15569823434993
2010-09-08,20.66,20.95,20.6,20.9,288400.0,20.9,20.270000000000003,20.341088996637037,0.017526777020447915,0.024368166976944487,67.14975845410628
2010-09-09,21.0,21.05,20.69,20.71,376200.0,20.71,20.351,20.40816372452121,-0.009090909090908927,0.022828887073860694,65.0470219435737
2010-09-10,20.75,20.93,19.76,20.17,386600.0,20.17,20.393,20.364861229153718,-0.02607436021245768,0.02457617882730428,58.093797276853266
2010-09-13,20.89,20.8995,20.5,20.72,360800.0,20.72,20.494999999999997,20.42943191476213,0.027268220128904064,0.025696253465402483,54.812398042414365
2010-09-14,20.54,21.6,20.53,21.12,654700.0,21.12,20.619999999999997,20.55498974844174,0.01930501930501949,0.026066488643190958,67.14285714285717
2010-09-15,20.98,22.0,20.79,21.98,684600.0,21.98,20.869999999999997,20.81408252145233,0.04071969696969702,0.026349434275772105,68.05555555555559
2010-09-16,22.15,23.16,20.84,20.94,2684500.0,20.94,20.919,20.836976608460997,-0.047315741583257465,0.028837417386338177,58.94736842105265
2010-09-17,21.02,21.32,19.8,20.23,1198500.0,20.23,20.836000000000002,20.72661722510445,-0.03390639923591221,0.029227325342190854,53.625170998632015
2010-09-20,20.67,21.35,20.16,21.055,947500.0,21.055,20.8365,20.786323184176368,0.04078101828966885,0.03245520834061689,57.43879472693031
2010-09-21,20.89,21.55,20.67,20.77,796000.0,20.77,20.8595,20.783355332507938,-0.01353597720256472,0.03171784925376929,58.20610687022901
2010-09-22,20.87,20.95,19.8,19.87,962900.0,19.87,20.7565,20.617290726597403,-0.04333172845450162,0.034067078618988215,46.27727856225931
2010-09-23,19.89,20.14,19.5,19.56,668100.0,19.56,20.6415,20.425056049034236,-0.015601409159537116,0.03422601820378117,39.98664886515353
2010-09-24,19.95,20.19,19.65,20.1,578900.0,20.1,20.6345,20.36595494920983,0.027607361963190247,0.03478806280234127,44.077306733167084
2010-09-27,20.4,20.81,20.05,20.53,418600.0,20.53,20.6155,20.39578132208077,0.021393034825870627,0.034326660431049164,49.937027707808575
2010-09-28,21.04,21.49,20.76,21.4,1214500.0,21.4,20.6435,20.5783665362479,0.042377009254749076,0.03650372816241885,52.9585798816568
2010-09-29,21.19,22.03,21.13,21.98,1969300.0,21.98,20.6435,20.833208984202823,0.02710280373831786,0.03512339976441133,57.18325791855204
2010-09-30,22.0,22.1499,20.19,20.405,2195800.0,20.405,20.59,20.755352805256855,-0.07165605095541394,0.039393399109314046,51.189873417721515
2010-10-01,20.69,20.75,20.31,20.6,597700.0,20.6,20.627,20.7271068406647,0.009556481254594518,0.03783370315450207,49.36974789915968
2010-10-04,20.43,21.17,20.3,20.99,643600.0,20.99,20.6205,20.77490559690748,0.018932038834951204,0.03595984809662669,49.31650893796003
2010-10-05,21.15,21.28,21.01,21.12,332000.0,21.12,20.6555,20.83765003383339,0.006193425440686129,0.03565729879931773,45.10250569476083
2010-10-06,21.06,21.258,20.32,20.46,313400.0,20.46,20.7145,20.768986391318226,-0.03125,0.03411218342299236,47.142857142857146
2010-10-07,20.57,20.64,20.34,20.43,141000.0,20.43,20.801499999999997,20.70735250198764,-0.0014662756598241566,0.033522074930799554,51.29533678756476
2010-10-08,20.43,20.79,20.39,20.43,267800.0,20.43,20.8345,20.656924774353524,0.0,0.03256544553009915,45.46773023930385
2010-10-11,20.44,20.699,20.07,20.24,171200.0,20.24,20.805500000000002,20.58112026992561,-0.00930004894762615,0.031988240305493694,46.10294117647059
