date,1. open,2. high,3. low,4. close,5. volume
2025-04-09,32.54,36.25,32.28,35.9,788067.0
2025-04-08,34.95,35.04,32.7201,33.0,1142604.0
2025-04-07,35.2,35.4,32.5023,34.15,1378802.0
2025-04-04,37.4,37.545,35.7778,36.17,933466.0
2025-04-03,37.1,38.23,37.1,37.9,636002.0
2025-04-02,38.47,39.49,38.36,39.01,674867.0
2025-04-01,38.32,38.47,38.25,38.47,1377080.0
2025-03-31,38.35,38.3799,38.2,38.31,626352.0
2025-03-28,38.31,38.43,38.2,38.37,844499.0
2025-03-27,38.47,38.48,38.31,38.37,634484.0
2025-03-26,38.38,38.45,38.31,38.35,740972.0
2025-03-25,38.3,38.515,38.3,38.38,813533.0
2025-03-24,38.47,38.47,38.03,38.22,2132762.0
2025-03-21,38.08,38.115,37.77,38.03,1491955.0
2025-03-20,37.98,38.15,37.98,38.12,843657.0
2025-03-19,37.87,38.24,37.739,38.01,1844770.0
2025-03-18,37.64,37.95,37.44,37.8,1624457.0
2025-03-17,37.1,37.85,37.1,37.61,1069424.0
2025-03-14,36.96,37.2612,36.85,37.07,928960.0
2025-03-13,36.88,37.3299,36.41,36.57,857465.0
2025-03-12,37.1,37.14,36.63,36.87,1007175.0
2025-03-11,36.79,37.2064,36.58,36.87,727013.0
2025-03-10,37.77,37.8,36.39,36.78,871591.0
2025-03-07,37.78,38.036,37.63,37.81,285659.0
2025-03-06,37.97,38.25,37.75,37.78,883784.0
2025-03-05,38.0,38.3,37.92,38.2,797898.0
2025-03-04,37.85,38.17,37.59,37.93,661919.0
2025-03-03,37.75,38.22,37.54,38.11,743520.0
2025-02-28,37.27,37.99,37.27,37.66,627024.0
2025-02-27,37.47,37.69,37.26,37.41,629553.0
2025-02-26,37.88,37.94,37.49,37.53,862510.0
2025-02-25,37.52,37.7668,37.33,37.66,1610070.0
2025-02-24,37.95,38.36,37.56,37.59,2432624.0
2025-02-21,36.0,36.235,35.4,35.73,442669.0
2025-02-20,35.81,36.215,35.61,36.13,541214.0
2025-02-19,35.84,36.43,35.75,36.17,414845.0
2025-02-18,36.06,36.67,35.725,36.09,587979.0
2025-02-14,36.05,37.16,36.05,37.08,764783.0
2025-02-13,35.24,36.05,35.23,35.95,957260.0
2025-02-12,35.55,35.56,34.47,35.0,980052.0
2025-02-11,35.75,36.02,35.53,35.68,675691.0
2025-02-10,36.84,37.05,35.55,35.98,1940055.0
2025-02-07,36.8,37.3931,36.31,36.86,1432585.0
2025-02-06,41.0,41.37,35.93,36.04,2712403.0
2025-02-05,39.24,39.89,38.795,39.89,473441.0
2025-02-04,38.79,39.45,38.57,39.17,416299.0
2025-02-03,39.24,40.19,38.65,38.76,599456.0
2025-01-31,40.11,40.44,39.74,40.06,434394.0
2025-01-30,39.88,40.46,39.61,39.83,613355.0
2025-01-29,40.1,40.4999,39.25,39.44,380031.0
2025-01-28,40.0,40.4999,39.7433,40.2,288597.0
2025-01-27,40.28,40.6,39.26,39.96,760993.0
2025-01-24,40.37,40.86,40.26,40.73,375932.0
2025-01-23,40.4,40.5,39.8404,40.21,435341.0
2025-01-22,39.97,40.38,39.4001,40.37,551876.0
2025-01-21,39.0,40.8,38.51,39.79,1679079.0
2025-01-17,36.96,38.32,36.82,38.3,621593.0
2025-01-16,36.3,36.94,36.0157,36.77,262809.0
2025-01-15,35.92,36.13,35.4688,35.97,343396.0
2025-01-14,36.05,36.07,35.2,35.33,463782.0
2025-01-13,35.2,35.81,35.13,35.68,230395.0
2025-01-10,36.52,36.6782,35.4,35.43,336389.0
2025-01-08,36.12,36.93,35.9,36.87,206060.0
2025-01-07,37.14,37.34,36.08,36.19,335674.0
2025-01-06,37.83,37.9496,37.05,37.11,246207.0
2025-01-03,37.19,37.95,37.12,37.71,576256.0
2025-01-02,37.26,37.41,36.8,37.06,674572.0
2024-12-31,36.64,37.1,36.46,37.09,382122.0
2024-12-30,36.98,37.14,36.3101,36.46,407944.0
2024-12-27,37.44,37.77,37.06,37.24,314160.0
2024-12-26,36.8,37.45,36.73,37.41,233822.0
2024-12-24,36.13,36.9898,36.0,36.8,243105.0
2024-12-23,37.27,37.37,36.27,36.49,484227.0
2024-12-20,35.37,37.77,35.365,37.26,1302432.0
2024-12-19,34.76,35.96,34.6215,35.52,593386.0
2024-12-18,35.65,36.09,34.6865,34.69,407817.0
2024-12-17,35.5,35.77,35.19,35.45,968197.0
2024-12-16,35.84,36.49,35.66,35.67,294670.0
2024-12-13,36.3,36.435,35.613,35.95,241244.0
2024-12-12,36.08,36.47,36.0,36.17,210647.0
2024-12-11,35.82,36.585,35.82,36.19,298565.0
2024-12-10,35.76,36.45,35.7,35.81,409285.0
2024-12-09,34.58,36.42,34.5309,36.32,865306.0
2024-12-06,35.97,36.1753,35.45,35.6,253814.0
2024-12-05,35.82,36.34,35.61,35.8,247707.0
2024-12-04,35.95,36.28,35.74,36.0,207378.0
2024-12-03,36.38,36.67,35.85,35.85,291112.0
2024-12-02,36.25,36.49,35.92,36.39,268857.0
2024-11-29,36.63,36.63,36.2,36.27,134259.0
2024-11-27,35.99,36.7,35.94,36.67,282123.0
2024-11-26,35.32,35.89,35.1006,35.79,431353.0
2024-11-25,35.73,36.3,35.22,35.3,457866.0
2024-11-22,36.8,36.98,35.26,35.58,733011.0
2024-11-21,37.38,37.38,36.66,36.72,332603.0
2024-11-20,36.66,37.22,36.48,37.17,310220.0
2024-11-19,36.6,36.79,36.22,36.5,249491.0
2024-11-18,36.73,37.1,36.616,36.64,316742.0
2024-11-15,36.96,37.13,36.4002,36.57,266288.0
2024-11-14,36.05,37.065,35.82,37.03,406292.0
2024-11-13,36.18,36.2613,35.66,35.79,356999.0
2024-11-12,36.52,36.6713,35.55,36.18,281154.0
2024-11-11,37.15,37.4301,36.41,36.49,294166.0
2024-11-08,37.55,37.85,36.68,36.71,439832.0
2024-11-07,38.24,38.2885,37.5101,37.55,233728.0
2024-11-06,37.21,38.33,37.18,38.21,637639.0
2024-11-05,36.0,36.57,36.0,36.49,175886.0
